时间,是否始发站,是否终到站
05:27,0,0
05:37,0,0
05:47,0,0
05:57,0,0
06:07,0,0
06:17,0,0
06:27,0,0
06:37,0,0
06:47,0,0
06:57,0,0
07:07,0,0
07:14,0,0
07:21,0,0
07:28,0,0
07:35,0,0
07:42,0,0
07:49,0,0
07:56,0,0
08:03,0,0
08:10,0,0
08:17,0,0
08:24,0,0
08:31,0,0
08:38,0,0
08:45,0,0
08:52,0,0
08:59,0,0
09:06,0,0
09:13,0,0
09:20,0,0
09:27,0,0
09:34,0,0
09:41,0,0
09:48,0,0
09:55,0,0
10:02,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:19,0,0
11:26,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:03,0,0
15:10,0,0
15:17,0,0
15:24,0,0
15:31,0,0
15:38,0,0
15:45,0,0
15:52,0,0
15:59,0,0
16:05,0,0
16:10,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:32,0,0
16:38,0,0
16:43,0,0
16:49,0,0
16:55,0,0
17:00,0,0
17:06,0,0
17:11,0,0
17:16,0,0
17:22,0,0
17:28,0,0
17:33,0,0
17:38,0,0
17:44,0,0
17:49,0,0
17:55,0,0
18:00,0,0
18:06,0,0
18:11,0,0
18:17,0,0
18:23,0,0
18:28,0,0
18:33,0,0
18:39,0,0
18:44,0,0
18:50,0,0
18:56,0,0
19:01,0,0
19:08,0,0
19:14,0,0
19:20,0,0
19:26,0,0
19:32,0,0
19:37,0,0
19:43,0,0
19:50,0,0
19:56,0,0
20:03,0,0
20:10,0,0
20:17,0,0
20:24,0,0
20:31,0,0
20:38,0,0
20:45,0,0
20:52,0,0
20:59,0,0
21:06,0,0
21:13,0,0
21:20,0,0
21:27,0,0
21:34,0,0
21:41,0,0
21:48,0,0
21:55,0,0
22:02,0,0
22:08,0,0
22:16,0,0
22:25,0,0
22:35,0,0
22:45,0,0
22:55,0,0
23:05,0,0
23:15,0,0
23:25,0,0
23:35,0,0
23:45,0,0
23:56,0,0
