时间,是否始发站,是否终到站
05:16,0,0
05:25,0,0
05:35,0,0
05:45,0,0
05:53,0,0
06:01,0,0
06:07,0,0
06:13,0,0
06:20,0,0
06:26,0,0
06:33,0,0
06:39,0,0
06:46,0,0
06:52,0,0
06:58,0,0
07:05,0,0
07:11,0,0
07:18,0,0
07:24,0,0
07:31,0,0
07:37,0,0
07:43,0,0
07:50,0,0
07:56,0,0
08:03,0,0
08:09,0,0
08:16,0,0
08:22,0,0
08:28,0,0
08:35,0,0
08:41,0,0
08:48,0,0
08:54,0,0
09:01,0,0
09:07,0,0
09:13,0,0
09:20,0,0
09:26,0,0
09:33,0,0
09:39,0,0
09:46,0,0
09:52,0,0
09:58,0,0
10:05,0,0
10:11,0,0
10:18,0,0
10:24,0,0
10:31,0,0
10:37,0,0
10:43,0,0
10:50,0,0
10:56,0,0
11:03,0,0
11:09,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:35,0,0
11:41,0,0
11:48,0,0
11:54,0,0
12:01,0,0
12:07,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:33,0,0
12:39,0,0
12:46,0,0
12:52,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:18,0,0
13:24,0,0
13:31,0,0
13:37,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:03,0,0
14:09,0,0
14:16,0,0
14:22,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:48,0,0
14:54,0,0
15:01,0,0
15:07,0,0
15:14,0,0
15:20,0,0
15:27,0,0
15:33,0,0
15:39,0,0
15:46,0,0
15:52,0,0
15:59,0,0
16:05,0,0
16:12,0,0
16:18,0,0
16:24,0,0
16:31,0,0
16:37,0,0
16:44,0,0
16:50,0,0
16:57,0,0
17:03,0,0
17:09,0,0
17:16,0,0
17:22,0,0
17:29,0,0
17:35,0,0
17:42,0,0
17:48,0,0
17:54,0,0
18:01,0,0
18:07,0,0
18:14,0,0
18:20,0,0
18:27,0,0
18:33,0,0
18:40,0,0
18:46,0,0
18:52,0,0
18:59,0,0
19:05,0,0
19:12,0,0
19:18,0,0
19:25,0,0
19:31,0,0
19:37,0,0
19:44,0,0
19:50,0,0
19:57,0,0
20:03,0,0
20:10,0,0
20:16,0,0
20:22,0,0
20:29,0,0
20:36,0,0
20:42,0,0
20:48,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:14,0,0
21:20,0,0
21:27,0,0
21:33,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:59,0,0
22:05,0,0
22:12,0,0
22:21,0,0
22:30,0,0
22:39,0,0
22:48,0,0
22:57,0,0
23:06,0,0
