时间,是否始发站,是否终到站
05:32,0,0
05:44,0,0
05:53,0,0
06:01,0,0
06:10,0,0
06:19,0,0
06:29,0,0
06:38,0,0
06:48,0,0
06:57,0,0
07:04,0,0
07:10,0,0
07:17,0,0
07:23,0,0
07:30,0,0
07:36,0,0
07:43,0,0
07:49,0,0
07:55,0,0
08:02,0,0
08:08,0,0
08:15,0,0
08:21,0,0
08:28,0,0
08:34,0,0
08:40,0,0
08:47,0,0
08:53,0,0
09:00,0,0
09:06,0,0
09:13,0,0
09:19,0,0
09:26,0,0
09:32,0,0
09:38,0,0
09:45,0,0
09:51,0,0
09:58,0,0
10:04,0,0
10:11,0,0
10:17,0,0
10:23,0,0
10:30,0,0
10:36,0,0
10:43,0,0
10:49,0,0
10:56,0,0
11:02,0,0
11:08,0,0
11:15,0,0
11:21,0,0
11:28,0,0
11:34,0,0
11:41,0,0
11:47,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:13,0,0
12:19,0,0
12:26,0,0
12:32,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:58,0,0
13:04,0,0
13:11,0,0
13:17,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:43,0,0
13:49,0,0
13:56,0,0
14:02,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:28,0,0
14:34,0,0
14:41,0,0
14:47,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:13,0,0
15:19,0,0
15:26,0,0
15:32,0,0
15:39,0,0
15:45,0,0
15:52,0,0
15:58,0,0
16:04,0,0
16:11,0,0
16:17,0,0
16:24,0,0
16:30,0,0
16:37,0,0
16:43,0,0
16:49,0,0
16:56,0,0
17:02,0,0
17:09,0,0
17:15,0,0
17:22,0,0
17:28,0,0
17:35,0,0
17:41,0,0
17:47,0,0
17:54,0,0
18:00,0,0
18:07,0,0
18:13,0,0
18:20,0,0
18:26,0,0
18:32,0,0
18:39,0,0
18:45,0,0
18:52,0,0
18:58,0,0
19:05,0,0
19:11,0,0
19:17,0,0
19:24,0,0
19:30,0,0
19:37,0,0
19:43,0,0
19:50,0,0
19:56,0,0
20:02,0,0
20:09,0,0
20:15,0,0
20:22,0,0
20:28,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:54,0,0
21:00,0,0
21:07,0,0
21:13,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:39,0,0
21:45,0,0
21:52,0,0
21:58,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:25,0,1
22:30,0,0
22:37,0,0
22:44,0,1
22:50,0,0
22:57,0,0
23:06,0,1
23:16,0,1
23:26,0,1
23:35,0,1
23:44,0,1
