时间,是否始发站,是否终到站
05:03,1,0
05:11,1,0
05:20,1,0
05:29,1,0
05:37,0,0
05:48,0,0
05:57,0,0
06:06,0,0
06:16,0,0
06:22,0,0
06:29,1,0
06:34,0,0
06:42,0,0
06:48,1,0
06:54,0,0
07:01,0,0
07:08,0,0
07:14,0,0
07:20,0,0
07:27,0,0
07:33,0,0
07:40,0,0
07:46,0,0
07:53,0,0
07:59,0,0
08:06,0,0
08:12,0,0
08:18,0,0
08:25,0,0
08:31,0,0
08:38,0,0
08:44,0,0
08:51,0,0
08:57,0,0
09:03,0,0
09:10,0,0
09:16,0,0
09:23,0,0
09:29,0,0
09:36,0,0
09:42,0,0
09:48,0,0
09:55,0,0
10:01,0,0
10:08,0,0
10:14,0,0
10:21,0,0
10:27,0,0
10:33,0,0
10:40,0,0
10:46,0,0
10:53,0,0
10:59,0,0
11:06,0,0
11:12,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:38,0,0
11:44,0,0
11:51,0,0
11:57,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:23,0,0
12:29,0,0
12:36,0,0
12:42,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:08,0,0
13:14,0,0
13:21,0,0
13:27,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:53,0,0
13:59,0,0
14:06,0,0
14:12,0,0
14:19,0,0
14:25,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:51,0,0
14:57,0,0
15:04,0,0
15:10,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:36,0,0
15:42,0,0
15:49,0,0
15:55,0,0
16:02,0,0
16:08,0,0
16:14,0,0
16:21,0,0
16:27,0,0
16:34,0,0
16:40,0,0
16:47,0,0
16:53,0,0
16:59,0,0
17:06,0,0
17:12,0,0
17:19,0,0
17:25,0,0
17:32,0,0
17:38,0,0
17:45,0,0
17:51,0,0
17:57,0,0
18:04,0,0
18:10,0,0
18:17,0,0
18:23,0,0
18:30,0,0
18:36,0,0
18:42,0,0
18:49,0,0
18:55,0,0
19:02,0,0
19:08,0,0
19:15,0,0
19:21,0,0
19:27,0,0
19:34,0,0
19:40,0,0
19:47,0,0
19:53,0,0
20:00,0,0
20:06,0,0
20:12,0,0
20:19,0,0
20:25,0,0
20:32,0,0
20:38,0,0
20:45,0,0
20:51,0,0
20:58,0,0
21:04,0,0
21:10,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:36,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:02,0,0
22:08,0,0
22:16,0,0
22:24,0,0
22:34,0,0
22:44,0,0
22:53,0,0
23:02,0,0
